timestamp,open,high,low,close,volume,oi,underlying,expiry,strike,option_type,itm_rank
2026-09-23 03:45:00+00:00,215.75,235.4,196.8,233.75,607425.0,,,2026-09-29,23250.0,CE,3
2026-09-23 03:50:00+00:00,233.05,243.3,226.75,228.65,415870.0,,,2026-09-29,23250.0,CE,3
2026-09-23 03:55:00+00:00,228.3,229.55,207.95,208.65,331045.0,,,2026-09-29,23250.0,CE,3
2026-09-23 04:00:00+00:00,209.9,217.1,208.35,215.45,228085.0,,,2026-09-29,23250.0,CE,3
2026-09-23 04:05:00+00:00,216.95,220.65,207.5,211.1,327795.0,,,2026-09-29,23250.0,CE,3
2026-09-23 04:10:00+00:00,211.45,220.9,211.45,216.25,165685.0,,,2026-09-29,23250.0,CE,3
2026-09-23 04:15:00+00:00,216.2,222.8,201.95,208.7,364455.0,,,2026-09-29,23250.0,CE,3
2026-09-23 04:20:00+00:00,208.4,209.85,197.4,200.7,274300.0,,,2026-09-29,23250.0,CE,3
2026-09-23 04:25:00+00:00,201.2,217.95,199.55,217.55,459875.0,,,2026-09-29,23250.0,CE,3
2026-09-23 04:30:00+00:00,216.8,221.6,212.5,217.35,332345.0,,,2026-09-29,23250.0,CE,3
2026-09-23 04:35:00+00:00,217.8,221.0,207.95,208.65,146510.0,,,2026-09-29,23250.0,CE,3
2026-09-23 04:40:00+00:00,208.4,211.0,201.0,208.0,238420.0,,,2026-09-29,23250.0,CE,3
2026-09-23 04:45:00+00:00,207.2,229.4,207.2,228.0,443755.0,,,2026-09-29,23250.0,CE,3
2026-09-23 04:50:00+00:00,228.9,231.6,223.85,226.4,239590.0,,,2026-09-29,23250.0,CE,3
2026-09-23 04:55:00+00:00,226.8,234.15,220.8,228.25,196170.0,,,2026-09-29,23250.0,CE,3
2026-09-23 05:00:00+00:00,229.85,234.9,229.05,229.25,175240.0,,,2026-09-29,23250.0,CE,3
2026-09-23 05:05:00+00:00,230.9,240.3,225.6,236.0,213005.0,,,2026-09-29,23250.0,CE,3
2026-09-23 05:10:00+00:00,236.75,239.75,232.5,238.0,130715.0,,,2026-09-29,23250.0,CE,3
2026-09-23 05:15:00+00:00,238.7,243.4,237.0,237.15,181610.0,,,2026-09-29,23250.0,CE,3
2026-09-23 05:20:00+00:00,237.2,243.0,234.5,238.8,126945.0,,,2026-09-29,23250.0,CE,3
2026-09-23 05:25:00+00:00,240.05,246.85,235.25,237.75,119990.0,,,2026-09-29,23250.0,CE,3
2026-09-23 05:30:00+00:00,237.3,241.55,233.0,237.0,89505.0,,,2026-09-29,23250.0,CE,3
2026-09-23 05:35:00+00:00,236.75,249.65,236.75,244.3,154505.0,,,2026-09-29,23250.0,CE,3
2026-09-23 05:40:00+00:00,245.1,252.05,243.7,248.75,260455.0,,,2026-09-29,23250.0,CE,3
2026-09-23 05:45:00+00:00,248.85,248.85,235.6,236.3,146705.0,,,2026-09-29,23250.0,CE,3
2026-09-23 05:50:00+00:00,236.65,244.8,236.65,241.45,100035.0,,,2026-09-29,23250.0,CE,3
2026-09-23 05:55:00+00:00,241.6,247.9,238.65,242.25,67145.0,,,2026-09-29,23250.0,CE,3
2026-09-23 06:00:00+00:00,242.0,255.7,241.5,250.5,145145.0,,,2026-09-29,23250.0,CE,3
