timestamp,open,high,low,close,volume,oi,underlying,expiry,strike,option_type,itm_rank
2026-07-20 03:50:00+00:00,485.0,485.0,485.0,485.0,65.0,,NIFTY,2026-08-11,24550.0,PE,2
2026-07-20 04:10:00+00:00,515.0,515.0,515.0,515.0,65.0,6.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-20 07:55:00+00:00,448.0,448.0,448.0,448.0,65.0,,NIFTY,2026-08-11,24550.0,PE,2
2026-07-21 06:15:00+00:00,480.0,480.0,480.0,480.0,65.0,,NIFTY,2026-08-11,24550.0,PE,2
2026-07-22 07:15:00+00:00,608.3,608.3,608.3,608.3,195.0,,NIFTY,2026-08-11,24550.0,PE,2
2026-07-22 07:40:00+00:00,639.7,639.7,639.7,639.7,65.0,9.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-22 08:05:00+00:00,597.7,597.7,597.7,597.7,65.0,,NIFTY,2026-08-11,24550.0,PE,2
2026-07-22 08:30:00+00:00,623.2,628.65,623.2,628.65,780.0,11.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-22 08:40:00+00:00,638.45,638.45,638.45,638.45,65.0,14.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-24 04:40:00+00:00,921.4,921.4,921.4,921.4,65.0,,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 03:45:00+00:00,428.55,428.55,395.5,396.5,1365.0,20.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 03:50:00+00:00,397.9,397.9,397.9,397.9,130.0,11.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 03:55:00+00:00,409.0,411.15,409.0,410.4,195.0,10.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 04:00:00+00:00,401.35,401.95,396.0,400.1,520.0,25.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 04:05:00+00:00,392.8,396.3,381.8,381.8,650.0,69.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 04:10:00+00:00,386.05,386.05,386.05,386.05,65.0,14.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 04:20:00+00:00,390.5,394.05,390.5,393.15,780.0,14.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 04:25:00+00:00,396.15,399.65,394.25,399.65,845.0,16.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 04:30:00+00:00,394.1,394.1,394.1,394.1,65.0,,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 04:35:00+00:00,388.0,389.5,383.6,383.6,260.0,,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 04:45:00+00:00,383.9,386.1,382.6,382.6,845.0,,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 04:55:00+00:00,378.0,381.45,375.65,381.45,260.0,62.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 05:00:00+00:00,379.9,385.2,379.9,385.2,130.0,,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 05:05:00+00:00,377.75,378.15,376.0,378.15,195.0,65.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 05:10:00+00:00,377.5,377.5,377.5,377.5,65.0,,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 05:15:00+00:00,389.35,389.35,389.35,389.35,325.0,22.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 05:20:00+00:00,384.05,386.55,384.05,386.55,130.0,51.0,NIFTY,2026-08-11,24550.0,PE,2
2026-07-29 05:25:00+00:00,385.0,385.0,385.0,385.0,130.0,26.0,NIFTY,2026-08-11,24550.0,PE,2
