timestamp,open,high,low,close,volume,oi,underlying,expiry,strike,option_type,itm_rank
2026-07-20 05:10:00+00:00,2195.0,2205.0,2192.0,2192.0,195.0,20.0,NIFTY,2026-07-21,22000.0,CE,3
2026-07-20 05:15:00+00:00,2195.0,2195.0,2195.0,2195.0,65.0,21.0,NIFTY,2026-07-21,22000.0,CE,3
2026-07-20 06:55:00+00:00,2155.0,2155.0,2144.25,2144.25,195.0,68.0,NIFTY,2026-07-21,22000.0,CE,3
2026-07-20 07:45:00+00:00,2218.15,2218.15,2218.15,2218.15,130.0,24.0,NIFTY,2026-07-21,22000.0,CE,3
2026-07-20 07:55:00+00:00,2230.0,2230.0,2230.0,2230.0,65.0,,NIFTY,2026-07-21,22000.0,CE,3
2026-07-20 08:40:00+00:00,2256.05,2256.05,2256.0,2256.0,390.0,49.0,NIFTY,2026-07-21,22000.0,CE,3
2026-07-20 08:45:00+00:00,2252.0,2255.0,2250.0,2255.0,520.0,67.0,NIFTY,2026-07-21,22000.0,CE,3
2026-07-20 09:20:00+00:00,2255.0,2255.0,2255.0,2255.0,65.0,,NIFTY,2026-07-21,22000.0,CE,3
2026-07-21 04:30:00+00:00,2230.0,2230.0,2230.0,2230.0,65.0,,NIFTY,2026-07-21,22000.0,CE,3
2026-07-21 05:25:00+00:00,2180.0,2188.1,2180.0,2188.1,390.0,37.0,NIFTY,2026-07-21,22000.0,CE,3
2026-07-21 05:55:00+00:00,2175.0,2175.0,2175.0,2175.0,260.0,16.0,NIFTY,2026-07-21,22000.0,CE,3
2026-07-21 06:05:00+00:00,2180.0,2180.0,2180.0,2180.0,260.0,13.0,NIFTY,2026-07-21,22000.0,CE,3
2026-07-21 06:10:00+00:00,2169.0,2169.0,2165.0,2165.0,455.0,19.0,NIFTY,2026-07-21,22000.0,CE,3
2026-07-21 07:30:00+00:00,2145.0,2145.0,2145.0,2145.0,65.0,,NIFTY,2026-07-21,22000.0,CE,3
2026-07-21 08:50:00+00:00,2175.0,2175.0,2175.0,2175.0,65.0,,NIFTY,2026-07-21,22000.0,CE,3
2026-07-21 09:55:00+00:00,2191.75,2191.75,2191.75,2191.75,65.0,,NIFTY,2026-07-21,22000.0,CE,3
