timestamp,open,high,low,close,volume,oi,underlying,expiry,strike,option_type,itm_rank
2026-08-18 03:45:00+00:00,337.6,337.6,337.6,337.6,65.0,,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 03:55:00+00:00,213.55,213.55,209.7,209.7,130.0,0.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 04:00:00+00:00,236.65,236.65,236.65,236.65,650.0,1.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 04:10:00+00:00,216.0,216.0,216.0,216.0,65.0,7.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 04:20:00+00:00,222.15,222.15,222.15,222.15,195.0,,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 04:25:00+00:00,224.6,224.6,224.6,224.6,65.0,8.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 04:35:00+00:00,226.1,229.45,226.1,229.45,130.0,18.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 04:45:00+00:00,232.85,239.9,231.55,231.55,585.0,10.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 05:10:00+00:00,232.0,232.0,232.0,232.0,130.0,13.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 05:15:00+00:00,231.65,231.65,231.65,231.65,650.0,,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 05:25:00+00:00,239.15,239.15,239.15,239.15,65.0,12.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 05:30:00+00:00,237.15,237.15,237.15,237.15,520.0,13.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 06:00:00+00:00,241.1,241.1,241.1,241.1,65.0,18.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 08:10:00+00:00,237.55,237.55,237.55,237.55,65.0,17.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 08:55:00+00:00,236.85,236.85,234.05,234.05,130.0,37.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 09:00:00+00:00,228.3,228.3,228.3,228.3,65.0,19.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-18 09:40:00+00:00,228.3,228.3,228.3,228.3,65.0,20.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 04:15:00+00:00,268.95,268.95,268.95,268.95,65.0,,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 04:40:00+00:00,266.7,266.7,266.7,266.7,65.0,20.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 05:10:00+00:00,282.1,282.1,282.1,282.1,65.0,19.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 05:20:00+00:00,277.35,277.35,277.35,277.35,130.0,20.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 06:45:00+00:00,281.4,281.4,281.4,281.4,130.0,,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 07:00:00+00:00,281.5,281.7,281.5,281.7,130.0,21.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 07:20:00+00:00,280.45,280.45,280.45,280.45,65.0,,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 07:50:00+00:00,287.45,287.45,287.45,287.45,65.0,22.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 08:05:00+00:00,281.45,283.55,281.45,283.55,390.0,46.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 08:10:00+00:00,281.4,281.4,281.4,281.4,65.0,26.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 08:15:00+00:00,283.55,283.55,283.55,283.55,65.0,27.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 08:25:00+00:00,283.05,283.05,283.05,283.05,195.0,26.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 09:00:00+00:00,283.55,283.55,283.55,283.55,65.0,28.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 09:05:00+00:00,270.75,270.75,199.5,231.05,1105.0,66.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 09:10:00+00:00,275.55,278.9,275.55,278.9,130.0,35.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 09:25:00+00:00,276.5,276.5,276.5,276.5,65.0,35.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 09:45:00+00:00,274.75,274.75,274.75,274.75,325.0,,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 09:50:00+00:00,277.0,277.0,277.0,277.0,520.0,39.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-19 10:05:00+00:00,272.7,272.7,272.7,272.7,260.0,44.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 03:45:00+00:00,201.95,202.15,201.0,202.15,975.0,33.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 03:50:00+00:00,206.0,206.0,206.0,206.0,65.0,33.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 04:00:00+00:00,203.5,203.5,202.85,202.85,195.0,,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 04:05:00+00:00,200.95,200.95,200.95,200.95,130.0,,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 04:10:00+00:00,198.9,198.9,197.45,197.45,260.0,68.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 04:15:00+00:00,194.35,194.35,194.35,194.35,325.0,,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 04:20:00+00:00,198.1,198.1,198.1,198.1,325.0,34.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 04:25:00+00:00,194.35,196.3,194.35,196.3,325.0,36.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 04:30:00+00:00,195.05,195.05,195.05,195.05,65.0,35.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 04:35:00+00:00,195.0,195.5,195.0,195.5,520.0,37.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 04:50:00+00:00,191.45,191.45,191.45,191.45,260.0,40.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 04:55:00+00:00,189.55,189.55,189.55,189.55,65.0,42.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 05:05:00+00:00,197.95,197.95,197.95,197.95,65.0,,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 05:15:00+00:00,196.25,196.25,196.25,196.25,65.0,43.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 05:30:00+00:00,194.05,194.05,194.05,194.05,65.0,44.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 05:40:00+00:00,195.2,195.2,195.2,195.2,65.0,,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 05:45:00+00:00,195.2,195.2,195.2,195.2,65.0,44.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 05:50:00+00:00,198.0,198.0,198.0,198.0,195.0,45.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 06:00:00+00:00,186.35,186.35,186.35,186.35,65.0,43.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 06:05:00+00:00,186.2,191.0,186.2,191.0,325.0,,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 06:10:00+00:00,191.0,191.0,188.7,188.7,260.0,94.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 06:15:00+00:00,188.0,188.0,184.1,184.1,390.0,100.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 06:30:00+00:00,184.0,184.0,184.0,184.0,260.0,50.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 06:45:00+00:00,184.0,184.0,184.0,184.0,1040.0,50.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 06:50:00+00:00,185.85,185.85,185.85,185.85,325.0,60.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 07:05:00+00:00,185.85,185.85,183.8,183.8,130.0,57.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 07:15:00+00:00,170.75,170.75,168.9,168.9,455.0,58.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 07:20:00+00:00,169.85,174.15,165.0,174.15,4680.0,228.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 07:25:00+00:00,172.95,172.95,171.0,171.0,650.0,150.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 07:30:00+00:00,175.85,175.85,174.3,174.3,455.0,151.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 07:50:00+00:00,177.1,177.1,177.1,177.1,65.0,78.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 07:55:00+00:00,170.0,170.0,170.0,170.0,2080.0,78.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 08:20:00+00:00,176.55,176.55,176.55,176.55,325.0,57.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 08:25:00+00:00,176.75,177.0,176.75,177.0,130.0,61.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 08:30:00+00:00,176.25,176.25,176.25,176.25,65.0,60.0,NIFTY,2026-09-15,24250.0,PE,2
2026-08-20 08:35:00+00:00,176.25,176.25,176.25,176.25,0.0,,NIFTY,2026-09-15,24250.0,PE,2
