date,timestamp,strategy,entry,sl,target,opening_high,opening_low,candle_type,symbol,expiry,strike,option_type,itm_rank,exit_time,exit_price,outcome,mfe,mae,points_gained_lost,time_to_exit_minutes,entry_hour,entry_minute,before_10
2026-08-24,2026-08-24 04:00:00+00:00,LEVEL_TO_LEVEL,16.7,11.8,17.35,17.35,15.8,lower_rejection,NSE-NIFTY-08Sep26-23600-PE,2026-09-08,23600.0,PE,3,2026-08-24 05:20:00+00:00,17.35,TARGET,13.650000000000002,-0.5500000000000007,0.6500000000000021,80.0,9,30,True
2026-08-25,2026-08-25 04:05:00+00:00,LEVEL_TO_LEVEL,20.6,18.3,25.9,25.9,22.3,normal,NSE-NIFTY-08Sep26-23600-PE,2026-09-08,23600.0,PE,3,2026-08-25 06:25:00+00:00,18.3,SL,5.199999999999999,-11.450000000000001,-2.3000000000000007,140.0,9,35,True
2026-08-26,2026-08-26 03:55:00+00:00,LEVEL_TO_LEVEL,9.85,6.199999999999999,11.25,11.25,10.2,lower_rejection,NSE-NIFTY-08Sep26-23600-PE,2026-09-08,23600.0,PE,3,2026-08-26 04:50:00+00:00,11.25,TARGET,5.65,-0.6999999999999993,1.4000000000000004,55.0,9,25,True
2026-08-28,2026-08-28 04:15:00+00:00,LEVEL_TO_LEVEL,17.65,15.149999999999999,21.35,21.35,19.15,normal,NSE-NIFTY-08Sep26-23600-PE,2026-09-08,23600.0,PE,3,2026-08-28 04:45:00+00:00,15.149999999999999,SL,7.0,-4.599999999999998,-2.5,30.0,9,45,True
2026-09-01,2026-09-01 04:05:00+00:00,LEVEL_TO_LEVEL,15.15,11.45,19.95,19.95,15.45,strong_green,NSE-NIFTY-08Sep26-23600-PE,2026-09-08,23600.0,PE,3,2026-09-01 05:35:00+00:00,11.45,SL,42.300000000000004,-5.300000000000001,-3.700000000000001,90.0,9,35,True
2026-09-04,2026-09-04 04:25:00+00:00,LEVEL_TO_LEVEL,11.85,7.6,15.6,15.6,11.6,lower_rejection,NSE-NIFTY-08Sep26-23600-PE,2026-09-08,23600.0,PE,3,2026-09-04 08:55:00+00:00,7.6,SL,0.9500000000000011,-5.75,-4.25,270.0,9,55,True
2026-09-09,2026-09-09 04:00:00+00:00,LEVEL_TO_LEVEL,673.5,662.45,666.45,666.45,666.45,strong_green,NSE-NIFTY-15Sep26-22900-CE,2026-09-15,22900.0,CE,3,2026-09-09 04:05:00+00:00,666.45,TARGET,53.89999999999998,-109.5,-7.0499999999999545,5.0,9,30,True
2026-09-10,2026-09-10 03:55:00+00:00,LEVEL_TO_LEVEL,591.65,586.0,619.85,619.85,590.0,normal,NSE-NIFTY-15Sep26-22900-CE,2026-09-15,22900.0,CE,3,2026-09-10 04:00:00+00:00,586.0,SL,30.700000000000045,-223.09999999999997,-5.649999999999977,5.0,9,25,True
2026-09-15,2026-09-15 04:40:00+00:00,LEVEL_TO_LEVEL,495.0,585.8,655.4,655.4,589.8,normal,NSE-NIFTY-15Sep26-22900-CE,2026-09-15,22900.0,CE,3,2026-09-15 04:45:00+00:00,585.8,SL,2.1000000000000227,-295.65,90.79999999999995,5.0,10,10,False
2026-09-10,2026-09-10 03:55:00+00:00,LEVEL_TO_LEVEL,447.65,440.6,474.25,474.25,444.6,upper_rejection,NSE-NIFTY-15Sep26-23050-CE,2026-09-15,23050.0,CE,2,2026-09-10 04:00:00+00:00,440.6,SL,32.35000000000002,-207.64999999999998,-7.0499999999999545,5.0,9,25,True
2026-09-11,2026-09-11 04:25:00+00:00,LEVEL_TO_LEVEL,249.4,236.0,252.45,252.45,240.0,strong_green,NSE-NIFTY-15Sep26-23050-CE,2026-09-15,23050.0,CE,2,2026-09-11 04:30:00+00:00,252.45,TARGET,237.85,-2.4000000000000057,3.049999999999983,5.0,9,55,True
2026-09-15,2026-09-15 04:40:00+00:00,LEVEL_TO_LEVEL,347.0,435.2,487.25,487.25,439.2,normal,NSE-NIFTY-15Sep26-23050-CE,2026-09-15,23050.0,CE,2,2026-09-15 04:45:00+00:00,435.2,SL,2.8999999999999773,-292.7,88.19999999999999,5.0,10,10,False
2026-09-01,2026-09-01 04:05:00+00:00,LEVEL_TO_LEVEL,31.4,27.35,33.7,33.7,31.35,strong_green,NSE-NIFTY-15Sep26-23550-PE,2026-09-15,23550.0,PE,2,2026-09-01 04:15:00+00:00,33.7,TARGET,52.00000000000001,-8.0,2.3000000000000043,10.0,9,35,True
2026-09-02,2026-09-02 05:00:00+00:00,LEVEL_TO_LEVEL,63.25,62.95,77.95,77.95,66.95,lower_rejection,NSE-NIFTY-15Sep26-23550-PE,2026-09-15,23550.0,PE,2,2026-09-02 06:30:00+00:00,77.95,TARGET,17.450000000000003,-32.25,14.700000000000003,90.0,10,30,False
2026-09-03,2026-09-03 04:20:00+00:00,LEVEL_TO_LEVEL,32.2,29.200000000000003,52.8,52.8,33.2,lower_rejection,NSE-NIFTY-15Sep26-23550-PE,2026-09-15,23550.0,PE,2,2026-09-03 10:05:00+00:00,52.8,TARGET,21.349999999999994,-0.10000000000000142,20.599999999999994,345.0,9,50,True
2026-09-04,2026-09-04 03:55:00+00:00,LEVEL_TO_LEVEL,39.3,32.6,43.0,43.0,36.6,normal,NSE-NIFTY-15Sep26-23550-PE,2026-09-15,23550.0,PE,2,2026-09-04 04:50:00+00:00,32.6,SL,1.8500000000000014,-12.199999999999996,-6.699999999999996,55.0,9,25,True
2026-09-08,2026-09-08 04:45:00+00:00,LEVEL_TO_LEVEL,56.8,51.5,66.95,66.95,55.5,normal,NSE-NIFTY-15Sep26-23550-PE,2026-09-15,23550.0,PE,2,2026-09-08 06:20:00+00:00,66.95,TARGET,86.14999999999999,-0.04999999999999716,10.150000000000006,95.0,10,15,False
2026-09-11,2026-09-11 04:55:00+00:00,LEVEL_TO_LEVEL,287.0,267.55,320.5,320.5,271.55,strong_green,NSE-NIFTY-15Sep26-23550-PE,2026-09-15,23550.0,PE,2,2026-09-11 05:05:00+00:00,267.55,SL,-0.10000000000002274,-228.3,-19.44999999999999,10.0,10,25,False
2026-08-24,2026-08-24 03:55:00+00:00,LEVEL_TO_LEVEL,37.7,34.3,39.3,39.3,38.3,strong_green,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-08-24 04:05:00+00:00,39.3,TARGET,25.449999999999996,0.3999999999999986,1.5999999999999943,10.0,9,25,True
2026-08-25,2026-08-25 04:05:00+00:00,LEVEL_TO_LEVEL,49.75,50.1,59.2,59.2,54.1,strong_green,NSE-NIFTY-15Sep26-23700-PE,2026-09-15,23700.0,PE,3,2026-08-25 06:20:00+00:00,50.1,SL,8.75,-30.4,0.3500000000000014,135.0,9,35,True
