timestamp,open,high,low,close,volume,oi,underlying,expiry,strike,option_type,itm_rank
2026-09-09 03:50:00+00:00,528.55,528.55,528.55,528.55,130.0,,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 03:55:00+00:00,532.8,532.8,532.8,532.8,195.0,1.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 04:00:00+00:00,532.6,532.6,532.6,532.6,65.0,3.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 04:05:00+00:00,528.8,528.8,528.8,528.8,65.0,3.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 04:10:00+00:00,545.8,545.8,545.8,545.8,65.0,4.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 04:20:00+00:00,512.5,512.5,512.5,512.5,325.0,5.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 04:25:00+00:00,513.0,513.0,505.8,509.0,910.0,35.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 04:30:00+00:00,505.5,505.5,505.5,505.5,65.0,9.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 04:35:00+00:00,502.3,506.2,497.0,498.85,845.0,24.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 04:40:00+00:00,500.7,512.5,500.7,512.5,130.0,17.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 04:45:00+00:00,527.9,541.0,527.9,541.0,520.0,39.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 04:50:00+00:00,541.85,550.1,540.7,550.1,780.0,44.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 04:55:00+00:00,562.5,562.5,551.9,561.85,390.0,94.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 05:00:00+00:00,561.5,561.5,549.6,553.0,715.0,100.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 05:05:00+00:00,545.85,545.85,523.2,523.2,1040.0,89.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 05:10:00+00:00,525.05,525.05,525.05,525.05,65.0,28.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 05:15:00+00:00,525.05,538.55,525.05,536.85,910.0,64.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 05:20:00+00:00,536.5,536.5,525.35,527.6,390.0,72.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 05:25:00+00:00,541.2,548.35,540.35,548.35,780.0,92.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 05:30:00+00:00,554.45,554.45,547.8,554.2,585.0,60.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 05:35:00+00:00,550.0,550.0,549.8,549.9,325.0,66.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 05:40:00+00:00,548.05,548.05,542.65,544.8,585.0,105.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 05:45:00+00:00,535.35,547.35,535.35,547.35,130.0,37.0,NIFTY,2026-09-15,23050.0,CE,2
2026-09-09 05:50:00+00:00,548.65,548.65,536.2,536.2,325.0,74.0,NIFTY,2026-09-15,23050.0,CE,2
